incident_id,data_year,ori,pug_agency_name,agency_type_name,state_abbr,state_name,division_name,region_name,population_group_code,population_group_description,incident_date,total_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
176080,2015,DCMPD0000,Washington,City,DC,District of Columbia,South Atlantic,South,1B,"Cities from 500,000 thru 999,999",2015-07-18,1,Multiple,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Convenience Store,Anti-Sikh,Individual,S,S
177679,2015,MOKPD0000,Kansas City,City,MO,Missouri,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",2015-12-08,0,Unknown,Not Specified,1,Theft From Motor Vehicle,1.0,Rental Storage Facility,Anti-Sikh,Individual,S,S
177763,2015,MT0250100,Helena,City,MT,Montana,Mountain,West,4,"Cities from 25,000 thru 49,999",2015-06-16,1,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Sikh,Individual,S,S
177764,2015,MT0250100,Helena,City,MT,Montana,Mountain,West,4,"Cities from 25,000 thru 49,999",2015-08-12,0,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Arena/Stadium/Fairgrounds/Coliseum,Anti-Sikh,Business,S,S
177765,2015,MT0250100,Helena,City,MT,Montana,Mountain,West,4,"Cities from 25,000 thru 49,999",2015-12-09,2,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Sikh,Individual,S,S
179635,2015,TN0160100,Manchester,City,TN,Tennessee,East South Central,South,5,"Cities from 10,000 thru 24,999",2015-07-28,0,Unknown,Not Specified,1,Theft From Building,1.0,Restaurant,Anti-Sikh,Individual,S,S
180921,2016,CA0100500,Fresno,City,CA,California,Pacific,West,1B,"Cities from 500,000 thru 999,999",2016-03-26,2,Multiple,Multiple,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Sikh,Individual,S,S
183903,2016,MT0420000,Richland,County,MT,Montana,Mountain,West,8D,"Non-MSA counties under 10,000",2016-09-04,1,White,Not Hispanic or Latino,2,Burglary/Breaking & Entering,0.0,Restaurant,Anti-Sikh,Business,S,S
185774,2016,SC0050000,Bamberg,County,SC,South Carolina,South Atlantic,South,8D,"Non-MSA counties under 10,000",2016-12-07,1,Unknown,Unknown,1,Theft From Building,0.0,Other/Unknown,Anti-Sikh,Government,S,S
185775,2016,SC0060300,Blackville,City,SC,South Carolina,South Atlantic,South,7,"Cities under 2,500",2016-01-29,1,Black or African American,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Sikh,Individual,S,S
